"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"101289356","Great Company to Work","Great Company to Work","Work life balance is genuinely solid. The schedule is predictable, the workload is manageable, and leadership actually respects your time. Remote flexibility is real, not something they just advertise. The benefits package is strong, and my manager has been consistently supportive, reasonable, and easy to work with. It feels like a place where you can build a long career without burning yourself out.","Cross functional exposure is limited. As a systems engineer, you mostly stay in the systems lane. There is less interaction with electro mechanical teams, CAD and design groups, and integration and test compared to what you see at more dynamic engineering organizations. The pathways to rotate across disciplines exist, but they are slow and not built into the normal workflow.","5.0","2025-11-14T13:36:30.993","Current employee - Systems Engineer","Fort Worth, TX","REGULAR","next_f"
"101280698","Great company treats employees well, cool projects, frustrating inefficiency","Great company treats employees well, cool projects, frustrating inefficiency","Great Projects, amazing work life balance with 4x10 weeks, awesome to work onsite with production and flight, great benefits","Slow bureacracy working with government, lack of bandwith/network resources","4.0","2025-11-14T05:55:17.063","Current employee - Associate Software Engineer","Fort Worth, TX","REGULAR","next_f"
"101270710","Great Company","Great Company","Great people, great industry, good pay, important work.","Bad CEO, big company, big bureacracy, large overhead, slow to respond.","5.0","2025-11-13T17:18:25.930","Current employee - Principal Engineer","Los Angeles, CA","REGULAR","next_f"
"101259327","Typical defense contractor","Typical defense contractor","Good benefits, good coworkers, interesting work","Low pay relatively, old big company","4.0","2025-11-13T07:50:00.043","Current employee","Unknown location","REGULAR","next_f"
"101259167","Good place to work.","Good place to work.","Decent work-life balance. Flexible on core hours.","Sometimes hectic work environment depending on the contracting cycle.","4.0","2025-11-13T07:43:52.090","Current employee - Subcontract Manager Staff","Grand Prairie, TX","REGULAR","next_f"
"101246122","Work","Work","Great benefits and 401k matching offered.","Health is pretty expensive during the year.","5.0","2025-11-12T17:52:19.217","Current employee - Systems Engineer Senior","Fort Worth, TX","REGULAR","next_f"
"101231353","Pretty good","Pretty good","Pretty good work environment and smart people","Will change you to an off-shift at a whim","4.0","2025-11-12T06:29:37.243","Current employee - Manufacturing Engineer Asc","Greenville, SC","REGULAR","next_f"
"101205450","Good WLB","Good WLB","- Work Life Balance - 4x10 Schedule - Flex Time - Union","- Facilities and offices are old - Union All engineers are unionized with a set pay range based off level, which is good for the bottom 75% of engineers but hurts and limits the pay of the top 25% or the highly specialized.","5.0","2025-11-11T06:21:35.963","Current employee - Member of Engineering Staff","Moorestown, NJ","REGULAR","next_f"
"101193560","Fine place to work","Fine place to work","Good benefits and decent pay","Location not the best. Poor management structure.","3.0","2025-11-10T16:19:15.780","Current employee - Systems Engineer","Palmdale, CA","REGULAR","next_f"
"101189288","Summer internship review","Summer internship review","reliable work, good mentorship and experience","intense work environment, repetitive work","4.0","2025-11-10T12:16:25.407","Former employee - Undergraduate Intern","Unknown location","REGULAR","next_f"
