review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
90619155,Reliable paycheck great pay in relation to service IT roles bad pay in relation to product IT roles Work life balance is great if you get a good client Tons of resources available to learn new skills for free They will pay for certifications if they are relevant to current role Tons of different industries to work in Basically good first gig out of university to get your feet under you earn some certs and figure out what you want to do for the longer term It s a good gig if you re currently unemployed and need a reliable paycheck ASAP,reliable paycheck great pay in relation to service it roles bad pay in relation to product it roles work life balance is great if you get a good client tons of resources available to learn new skills for free they will pay for certifications if they are relevant to current role tons of different industries to work in basically good first gig out of university to get your feet under you earn some certs and figure out what you want to do for the longer term it's a good gig if you're currently unemployed and need a reliable paycheck asap,if they can't find you a client you have to move to new client location or be terminated relocation bonus is not enough to cover they give you about 2000 depending on how far col there is no personal career development from their end performance review results are seemingly random this is what your yearly raise is based on you may have 5 stars on every individual attribute but be given a 2 5 overall leading to a poor raise there are many poor clients with poor teams if you get put on one of these accounts your best bet is to ask to be released and try again you can be released from client at any time and have to move cities states for a new one not a good gig for someone looking to immediately advance their career not good for someone looking for a forever home,3.0,2024-09-01,Systems Engineer,"Dallas, TX",REGULAR,Reliable paycheck great pay in relation to service IT roles bad pay in relation to product IT roles Work life balance is great if you get a good client Tons of resources available to learn new skills for free They will pay for certifications if they are relevant to current role Tons of different industries to work in Basically good first gig out of university to get your feet under you earn some certs and figure out what you want to do for the longer term It s a good gig if you re currently unemployed and need a reliable paycheck ASAP reliable paycheck great pay in relation to service it roles bad pay in relation to product it roles work life balance is great if you get a good client tons of resources available to learn new skills for free they will pay for certifications if they are relevant to current role tons of different industries to work in basically good first gig out of university to get your feet under you earn some certs and figure out what you want to do for the longer term it's a good gig if you're currently unemployed and need a reliable paycheck asap if they can't find you a client you have to move to new client location or be terminated relocation bonus is not enough to cover they give you about 2000 depending on how far col there is no personal career development from their end performance review results are seemingly random this is what your yearly raise is based on you may have 5 stars on every individual attribute but be given a 2 5 overall leading to a poor raise there are many poor clients with poor teams if you get put on one of these accounts your best bet is to ask to be released and try again you can be released from client at any time and have to move cities states for a new one not a good gig for someone looking to immediately advance their career not good for someone looking for a forever home,US,state_code:TX
90618524,It s a great company with very good work ethics It provides a stable employment and good job security Appraisal and salary normalization hike are done reasonably well particularly in India I ve seen other service companies where newer employees are paid more than existing employees in the same role But in TCS salary normalization is done for existing employees too based on the performance of the employees,it's a great company with very good work ethics it provides a stable employment and good job security appraisal and salary normalization hike are done reasonably well particularly in india i've seen other service companies where newer employees are paid more than existing employees in the same role but in tcs salary normalization is done for existing employees too based on the performance of the employees,career path and progression for individual contributors technical architects are limited as it depends on the project domain there is no proper salary hike annual bonus for employees transferred to other geographies onsite,4.0,2024-09-01,Associate Consultant Architect,"Boston, MA",REGULAR,It s a great company with very good work ethics It provides a stable employment and good job security Appraisal and salary normalization hike are done reasonably well particularly in India I ve seen other service companies where newer employees are paid more than existing employees in the same role But in TCS salary normalization is done for existing employees too based on the performance of the employees it's a great company with very good work ethics it provides a stable employment and good job security appraisal and salary normalization hike are done reasonably well particularly in india i've seen other service companies where newer employees are paid more than existing employees in the same role but in tcs salary normalization is done for existing employees too based on the performance of the employees career path and progression for individual contributors technical architects are limited as it depends on the project domain there is no proper salary hike annual bonus for employees transferred to other geographies onsite,US,state_code:MA
90615261,Amazing company to work with,amazing company to work with,none as of now that i am aware of,5.0,2024-09-01,Data Engineer,"San Jose, CA",REGULAR,Amazing company to work with amazing company to work with none as of now that i am aware of,US,state_code:CA
90583370,Work life balance is ok,work life balance is ok,low pay and mediocre work,2.0,2024-08-30,Information Technology,"Indianapolis, IN",REGULAR,Work life balance is ok work life balance is ok low pay and mediocre work,US,state_code:IN
90572900,Will hire new graduates Decent training process Decent pay for the area may vary Possibility of working remote Some of the managers will help you,will hire new graduates decent training process decent pay for the area may vary possibility of working remote some of the managers will help you,poor communication are expected to relocate at any point pay will remain stagnant will after work hours may be forced to work weekends,2.0,2024-08-30,Software Engineer,"Cincinnati, OH",REGULAR,Will hire new graduates Decent training process Decent pay for the area may vary Possibility of working remote Some of the managers will help you will hire new graduates decent training process decent pay for the area may vary possibility of working remote some of the managers will help you poor communication are expected to relocate at any point pay will remain stagnant will after work hours may be forced to work weekends,US,state_code:OH
90567117,Good Company to work with great Work Life balance,good company to work with great work life balance,nothing much to share all good,3.0,2024-08-30,Software Engineer,"San Francisco, CA",REGULAR,Good Company to work with great Work Life balance good company to work with great work life balance nothing much to share all good,US,state_code:CA
90546856,Not much except stable job,not much except stable job,pay is very less and unfair expectations from managers,2.0,2024-08-29,Software Engineer,"Dallas, TX",REGULAR,Not much except stable job not much except stable job pay is very less and unfair expectations from managers,US,state_code:TX
90531015,Provide insurance Doesn t fire easily Stay here for long,provide insurance doesn't fire easily stay here for long,less salary less opportunities end up working at the same place for years,2.0,2024-08-29,Computer Programmer,"Hartford, CT",REGULAR,Provide insurance Doesn t fire easily Stay here for long provide insurance doesn't fire easily stay here for long less salary less opportunities end up working at the same place for years,US,state_code:CT
90513539,We re talking about the second largest tech firm in the world It s harder to find a client that does not work with the company than one that does Scale of projects are truly transformative,we're talking about the second largest tech firm in the world it's harder to find a client that does not work with the company than one that does scale of projects are truly transformative,it's a cautious and a slow moving firm that has deep indian roots if you're not indian you will likely feel like an outsider and if you like to move aggressively and fast this place will drive you mad,3.0,2024-08-28,MarTech Consultant,"New York, NY",REGULAR,We re talking about the second largest tech firm in the world It s harder to find a client that does not work with the company than one that does Scale of projects are truly transformative we're talking about the second largest tech firm in the world it's harder to find a client that does not work with the company than one that does scale of projects are truly transformative it's a cautious and a slow moving firm that has deep indian roots if you're not indian you will likely feel like an outsider and if you like to move aggressively and fast this place will drive you mad,US,state_code:NY
90502540,Flexible hours opportunities to grow,flexible hours opportunities to grow,none that i can think of,5.0,2024-08-28,Sales Associate,"Boston, MA",REGULAR,Flexible hours opportunities to grow flexible hours opportunities to grow none that i can think of,US,state_code:MA
90469199,people are always good to deal with managers are very friendly,people are always good to deal with managers are very friendly,their online portal is a pain very hard to navigate through down most of the time even applying for a simple pto on the portal is a pain,4.0,2024-08-27,Software Development Engineer In Test (SDET),"New York, NY",REGULAR,people are always good to deal with managers are very friendly people are always good to deal with managers are very friendly their online portal is a pain very hard to navigate through down most of the time even applying for a simple pto on the portal is a pain,US,state_code:NY
90467904,good to work at TCS,good to work at tcs,inefficient hr communication regarding opportunities,3.0,2024-08-27,Junior Software Engineer,"Seattle, WA",REGULAR,good to work at TCS good to work at tcs inefficient hr communication regarding opportunities,US,state_code:WA
90446992,Have not thought about it,have not thought about it,nothing that i can think of,4.0,2024-08-27,Senior Consultant,"Dallas, TX",REGULAR,Have not thought about it have not thought about it nothing that i can think of,US,state_code:TX
90444190,Job safety and very less chance of lay off,job safety and very less chance of lay off,not a great paymaster and very little increment,4.0,2024-08-26,Sr.Consultant,"Marion, IA",REGULAR,Job safety and very less chance of lay off job safety and very less chance of lay off not a great paymaster and very little increment,US,state_code:IA
90433255,Good Company in terms of salary and pay,good company in terms of salary and pay,not proactive while filing any visa related item lots of office politics,4.0,2024-08-26,UI Developer,"Riverside, CA",REGULAR,Good Company in terms of salary and pay good company in terms of salary and pay not proactive while filing any visa related item lots of office politics,US,state_code:CA
90423278,I dont see any pros while working in this company Just like a normal consulting firm,i dont see any pros while working in this company just like a normal consulting firm,leadership is not good you will have to beg for everything if client says we have to be on furlough tcs will ask you to apply you leaves thats not correct we save our leaves for future planning any immigration related asks also we have to beg leadership to approve,2.0,2024-08-26,IT Analyst,"Atlanta, GA",REGULAR,I dont see any pros while working in this company Just like a normal consulting firm i dont see any pros while working in this company just like a normal consulting firm leadership is not good you will have to beg for everything if client says we have to be on furlough tcs will ask you to apply you leaves thats not correct we save our leaves for future planning any immigration related asks also we have to beg leadership to approve,US,state_code:GA
