review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
90297069,This company embodies everything you could hope for full stop,this company embodies everything you could hope for full stop,bureaucratic and slow upwardrs trajectory,5.0,2024-08-21,Lead Associate,"San Francisco, CA",REGULAR,This company embodies everything you could hope for full stop this company embodies everything you could hope for full stop bureaucratic and slow upwardrs trajectory,US,state_code:CA
90271320,lots of different projects to work on and remote flexibility,lots of different projects to work on and remote flexibility,rigid job structure to follow for promotion,4.0,2024-08-20,Software Developer,"Herndon, VA",REGULAR,lots of different projects to work on and remote flexibility lots of different projects to work on and remote flexibility rigid job structure to follow for promotion,US,state_code:VA
90259056,Great work life balance and benefits,great work life balance and benefits,lots of competition for positions internally and compensation lacks in comparison,5.0,2024-08-20,Information Security Engineer,"Washington, DC",REGULAR,Great work life balance and benefits great work life balance and benefits lots of competition for positions internally and compensation lacks in comparison,US,state_code:DC
90227332,Great culture Lots of different projects that expand from government to the commercial side Many resources for professional development,- great culture - lots of different projects that expand from government to the commercial side - many resources for professional development,- variable pay across firm high in some sectors and lower in others - pay often below market value for technical roles,5.0,2024-08-19,Staff Technologist,"Washington, DC",REGULAR,Great culture Lots of different projects that expand from government to the commercial side Many resources for professional development - great culture - lots of different projects that expand from government to the commercial side - many resources for professional development - variable pay across firm high in some sectors and lower in others - pay often below market value for technical roles,US,state_code:DC
90182471,Nice company culture overall that is implemented,nice company culture overall that is implemented,the nice culture doesn t always make it to the each team,3.0,2024-08-17,Consultant,"McLean, VA",REGULAR,Nice company culture overall that is implemented nice company culture overall that is implemented the nice culture doesn t always make it to the each team,US,state_code:VA
90178269,Booz Allen is a large firm with incredible resources opportunities and benefits My time with the company began in the Denver office where I had an outstanding experience The culture leadership and sense of community made it a great place to work and grow as a project manager I felt truly supported and part of a team that valued innovation and collaboration,booz allen is a large firm with incredible resources opportunities and benefits my time with the company began in the denver office where i had an outstanding experience the culture leadership and sense of community made it a great place to work and grow as a project manager i felt truly supported and part of a team that valued innovation and collaboration,unfortunately when i transitioned to the pnw office in washington things changed drastically being in a smaller office with less oversight from the larger corporation led to a lack of support for employees i experienced harassment and gaslighting which had a severe impact on my mental health what started as an incredible journey with booz allen eventually led to depression ultimately i had to make the difficult decision to leave the firm which was unfortunate given how promising my start had been,3.0,2024-08-17,IT Project Manager,"Bremerton, WA",REGULAR,Booz Allen is a large firm with incredible resources opportunities and benefits My time with the company began in the Denver office where I had an outstanding experience The culture leadership and sense of community made it a great place to work and grow as a project manager I felt truly supported and part of a team that valued innovation and collaboration booz allen is a large firm with incredible resources opportunities and benefits my time with the company began in the denver office where i had an outstanding experience the culture leadership and sense of community made it a great place to work and grow as a project manager i felt truly supported and part of a team that valued innovation and collaboration unfortunately when i transitioned to the pnw office in washington things changed drastically being in a smaller office with less oversight from the larger corporation led to a lack of support for employees i experienced harassment and gaslighting which had a severe impact on my mental health what started as an incredible journey with booz allen eventually led to depression ultimately i had to make the difficult decision to leave the firm which was unfortunate given how promising my start had been,US,state_code:WA
90177803,Great people to work with and expert in their job Know what they are doing,great people to work with and expert in their job know what they are doing,not so good health benefits,5.0,2024-08-17,Technical Business Analyst,"Dallas, TX",REGULAR,Great people to work with and expert in their job Know what they are doing great people to work with and expert in their job know what they are doing not so good health benefits,US,state_code:TX
90152591,I really enjoy the Benefits package and Company Culture,i really enjoy the benefits package and company culture,i cannot think of any cons,5.0,2024-08-16,Systems Engineer,"Fort Walton Beach, FL",REGULAR,I really enjoy the Benefits package and Company Culture i really enjoy the benefits package and company culture i cannot think of any cons,US,state_code:FL
90149325,Incredible Job Stability No layoffs,incredible job stability no layoffs,can be slow still a gov contractor so onsite work is often necessary,5.0,2024-08-16,Senior Machine Learning Engineer,"Washington, DC",REGULAR,Incredible Job Stability No layoffs incredible job stability no layoffs can be slow still a gov contractor so onsite work is often necessary,US,state_code:DC
90143705,Overall they hire good hard working smart people that do actual work on projects,overall they hire good hard working smart people that do actual work on projects,hr is terrible and immature and an hr leader actually led a data analytics project which struggled massively due to very poor leadership choice the leader was fine for hr but why have them lead a data analytics and data science project politics cannot be avoided in government contracts i presume non technical leadership for highly technical projects is the big negative,3.0,2024-08-16,Data Analyst,"Austin, TX",REGULAR,Overall they hire good hard working smart people that do actual work on projects overall they hire good hard working smart people that do actual work on projects hr is terrible and immature and an hr leader actually led a data analytics project which struggled massively due to very poor leadership choice the leader was fine for hr but why have them lead a data analytics and data science project politics cannot be avoided in government contracts i presume non technical leadership for highly technical projects is the big negative,US,state_code:TX
90120766,Great company Many Opportunities Fantastic Pay and benefits,great company many opportunities fantastic pay and benefits,company communication sometimes no other items to mention,5.0,2024-08-15,Risk Management Associate,"Chantilly, VA",REGULAR,Great company Many Opportunities Fantastic Pay and benefits great company many opportunities fantastic pay and benefits company communication sometimes no other items to mention,US,state_code:VA
90101470,Good people to work with company culture compensation,good people to work with company culture compensation,can t climb a technical ladder without also being a manager,4.0,2024-08-14,Scheduler,"Albuquerque, NM, United States",REGULAR,Good people to work with company culture compensation good people to work with company culture compensation can t climb a technical ladder without also being a manager,US,state_code:NM
90098642,good benefits and sick time,good benefits and sick time,will lie to you about pay rate then sell you out when you complain,2.0,2024-08-14,Technician,"Baltimore, MD",REGULAR,good benefits and sick time good benefits and sick time will lie to you about pay rate then sell you out when you complain,US,state_code:MD
90095798,Every manager or leader is kind authentic trustworthy and true to their mission of empowering people,every manager or leader is kind authentic trustworthy and true to their mission of empowering people,few technical opportunities outside ai computer science or software engineering,4.0,2024-08-14,Lead Engineer,"Washington, DC",REGULAR,Every manager or leader is kind authentic trustworthy and true to their mission of empowering people every manager or leader is kind authentic trustworthy and true to their mission of empowering people few technical opportunities outside ai computer science or software engineering,US,state_code:DC
90089590,It is a solid job to have with high level of job security It can be hard to get in the door and referrals are usually necessary,it is a solid job to have with high level of job security it can be hard to get in the door and referrals are usually necessary,not a tech company your exerience at the company varies widely based on the project,4.0,2024-08-14,Software Developer,"Tampa, FL",REGULAR,It is a solid job to have with high level of job security It can be hard to get in the door and referrals are usually necessary it is a solid job to have with high level of job security it can be hard to get in the door and referrals are usually necessary not a tech company your exerience at the company varies widely based on the project,US,state_code:FL
90084319,Depending on project could be very chill workload great work life balance,depending on project could be very chill workload great work life balance,pay is mediocre very off hand managers harder to find a position if you don't have an active clearance took a while for me to get off the bench,3.0,2024-08-14,Staff Engineer,"Washington, DC",REGULAR,Depending on project could be very chill workload great work life balance depending on project could be very chill workload great work life balance pay is mediocre very off hand managers harder to find a position if you don't have an active clearance took a while for me to get off the bench,US,state_code:DC
90068512,Full 6 401k match basic health care plan is free,full 6 401k match basic health care plan is free,the onboarding is beyond abysmal,3.0,2024-08-13,Enterprise Architect,"Washington, DC",REGULAR,Full 6 401k match basic health care plan is free full 6 401k match basic health care plan is free the onboarding is beyond abysmal,US,state_code:DC
90062065,Work Life balance Good Federal Projects,work life balance good federal projects,slow pace growth very limited or non existent non federal projects,4.0,2024-08-13,Lead Associate,"McLean, VA",PART_TIME,Work Life balance Good Federal Projects work life balance good federal projects slow pace growth very limited or non existent non federal projects,US,state_code:VA
90060760,Work life balance is great and fair pay,work life balance is great and fair pay,work is slow and can spend a lot of time on bench,5.0,2024-08-13,Senior Data Scientist,"Washington, DC",REGULAR,Work life balance is great and fair pay work life balance is great and fair pay work is slow and can spend a lot of time on bench,US,state_code:DC
90053225,People programs and benefits Opportunities for growth,people programs and benefits opportunities for growth,leadership communications are lacking as the firm continues to grow,4.0,2024-08-13,Business Partner,"McLean, VA",REGULAR,People programs and benefits Opportunities for growth people programs and benefits opportunities for growth leadership communications are lacking as the firm continues to grow,US,state_code:VA
90009183,Work friendly Supportive team members Great education benefits for career benefits,work friendly supportive team members great education benefits for career benefits,salaries could be better medical benefits could be better,4.0,2024-08-12,Cyber Security Engineer,"McLean, VA",REGULAR,Work friendly Supportive team members Great education benefits for career benefits work friendly supportive team members great education benefits for career benefits salaries could be better medical benefits could be better,US,state_code:VA
89991977,There is a lot of work schedule flexibility,there is a lot of work schedule flexibility,the onboarding material isn't helpful you will be looking things up consistently a lot of the job is figuring stuff out as you go,3.0,2024-08-11,Digital Transformation Consultant,"Arlington, VA",REGULAR,There is a lot of work schedule flexibility there is a lot of work schedule flexibility the onboarding material isn't helpful you will be looking things up consistently a lot of the job is figuring stuff out as you go,US,state_code:VA
89973944,Good work life balance friendly not ultra demanding,good work life balance friendly not ultra demanding,boring not engaging some bright people some remarkably not bring people,2.0,2024-08-10,Business Anlayst,"Charleston, SC",REGULAR,Good work life balance friendly not ultra demanding good work life balance friendly not ultra demanding boring not engaging some bright people some remarkably not bring people,US,state_code:SC
89926325,Friendly teams clear structure for job progression Good work life balance,friendly teams clear structure for job progression good work life balance,contracts become slow when government slows down so do we,4.0,2024-08-08,Consultant,"Washington, DC",REGULAR,Friendly teams clear structure for job progression Good work life balance friendly teams clear structure for job progression good work life balance contracts become slow when government slows down so do we,US,state_code:DC
89908947,It is overall okay place to work,it is overall okay place to work,i feel more connected with client,3.0,2024-08-08,Senior Consultant,"McLean, VA",REGULAR,It is overall okay place to work it is overall okay place to work i feel more connected with client,US,state_code:VA
89908904,Booz Allen is a great company to work for This is my second time working for the company Ive always had a good opinion of the company They appreciate their employees but also have high expectations,booz allen is a great company to work for this is my second time working for the company ive always had a good opinion of the company they appreciate their employees but also have high expectations,it is a big company so you can sometimes feel a bit lost in the sauce but provide resources to avoid or mitigate those instances,5.0,2024-08-08,Senior Lead Engineer Software,"Charlottesville, VA",REGULAR,Booz Allen is a great company to work for This is my second time working for the company Ive always had a good opinion of the company They appreciate their employees but also have high expectations booz allen is a great company to work for this is my second time working for the company ive always had a good opinion of the company they appreciate their employees but also have high expectations it is a big company so you can sometimes feel a bit lost in the sauce but provide resources to avoid or mitigate those instances,US,state_code:VA
89906592,Work from home and easy to move around,work from home and easy to move around,no sick leave and extremely immature managers,2.0,2024-08-08,Consultant,"Washington, DC",REGULAR,Work from home and easy to move around work from home and easy to move around no sick leave and extremely immature managers,US,state_code:DC
89906095,The people are great at BAH,the people are great at bah,very fast pace and work life balance is hard,4.0,2024-08-08,Senior Director Engineering,"San Diego, CA",REGULAR,The people are great at BAH the people are great at bah very fast pace and work life balance is hard,US,state_code:CA
89870182,Work from home good pay amp benefits,work from home good pay benefits,long hours lots of unnecessary paperwork process bureaucracy high expectations from management,3.0,2024-08-07,Senior Consultant,"San Diego, CA",REGULAR,Work from home good pay amp benefits work from home good pay benefits long hours lots of unnecessary paperwork process bureaucracy high expectations from management,US,state_code:CA
89863612,Reimburse for course certs started after joining company Lots of opportunities,reimburse for course certs started after joining company lots of opportunities,pay is lower than other companies insurance is high deductible paid of 8th and 22nd of the month,2.0,2024-08-07,DevOps/SRE Engineer,"Melbourne, FL",REGULAR,Reimburse for course certs started after joining company Lots of opportunities reimburse for course certs started after joining company lots of opportunities pay is lower than other companies insurance is high deductible paid of 8th and 22nd of the month,US,state_code:FL
89853625,My managers were cool and easy to talk to They made my day to day easier because I trusted them Work life balance is awesome,my managers were cool and easy to talk to they made my day-to-day easier because i trusted them work life balance is awesome,the pay isn't the greatest in comparison to other consulting firms booz is 10 below average market rate when looking at competitors,4.0,2024-08-06,Senior Consultant,"Washington, DC",REGULAR,My managers were cool and easy to talk to They made my day to day easier because I trusted them Work life balance is awesome my managers were cool and easy to talk to they made my day-to-day easier because i trusted them work life balance is awesome the pay isn't the greatest in comparison to other consulting firms booz is 10 below average market rate when looking at competitors,US,state_code:DC
89815637,Work life balance Great PTO plan 401k match is decent,work life balance great pto plan 401k match is decent,teams with wrong leadership can be unorganized benefits expense not the best,4.0,2024-08-05,Devops Engineer,"Charleston, SC",REGULAR,Work life balance Great PTO plan 401k match is decent work life balance great pto plan 401k match is decent teams with wrong leadership can be unorganized benefits expense not the best,US,state_code:SC
89812265,Great place to work for,great place to work for,no negative about this company,5.0,2024-08-05,Customer Service Representative,"Phoenix, AZ",PART_TIME,Great place to work for great place to work for no negative about this company,US,state_code:AZ
89807110,decent salary and benefits from major employer,decent salary and benefits from major employer,loose lots of folks from lack of work letters because firm leadership refuses to help folks find new projects,2.0,2024-08-05,Associate Consultant,"Pullman, WA",REGULAR,decent salary and benefits from major employer decent salary and benefits from major employer loose lots of folks from lack of work letters because firm leadership refuses to help folks find new projects,US,state_code:WA
89764419,Pay isn t bad compared to others,pay isn t bad compared to others,none working for them is good,5.0,2024-08-03,Cno Developer,"Annapolis Junction, MD",REGULAR,Pay isn t bad compared to others pay isn t bad compared to others none working for them is good,US,state_code:MD
89758506,Excellent career growth opportunities and leadership who is invested in their team,excellent career growth opportunities and leadership who is invested in their team,not many cons however pursuing promotion seems more difficult and discouraging than it should be for some high-performing employees,5.0,2024-08-03,Senior Consultant,"Washington, DC",REGULAR,Excellent career growth opportunities and leadership who is invested in their team excellent career growth opportunities and leadership who is invested in their team not many cons however pursuing promotion seems more difficult and discouraging than it should be for some high-performing employees,US,state_code:DC
89709375,Great leaders benefits and compensation,great leaders benefits and compensation,remote work made for a difficult work culture,5.0,2024-08-01,IT Project Manager,"McLean, VA",REGULAR,Great leaders benefits and compensation great leaders benefits and compensation remote work made for a difficult work culture,US,state_code:VA
89694489,Nice people Pretty clean campus,nice people pretty clean campus,a little daunting not many cons,4.0,2024-08-01,Janitor,"Washington, DC",REGULAR,Nice people Pretty clean campus nice people pretty clean campus a little daunting not many cons,US,state_code:DC
89682846,Work culture is really great,work culture is really great,pay scale need to be increased,5.0,2024-07-31,Senior Data Scientist,"Atlanta, GA",REGULAR,Work culture is really great work culture is really great pay scale need to be increased,US,state_code:GA
