"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103758666","Okay if you donât mind having to be a shark","Okay if you donât mind having to be a shark","Most of the providers are nice to work with and they treat you like a person. Lots of flexibility with shifts. Keeps you busy and not bored.","Management needs work. The lead MAs can be petty and bully you for no reason. They donât know how to train/teach without making you feel lesser than.","3.0","2026-04-28T17:26:50.420","Current employee - Medical Assistant","Las Vegas, NV","REGULAR","next_f"
"103754993","optum","optum","Remote work allowed. Provide work laptop","Low salary. Very poor bonus","3.0","2026-04-28T12:17:44.077","Former employee - Data Engineer","Lake Success, NY","REGULAR","next_f"
"103743663","Skills gained, but micromanagement and instability abound","Skills gained, but micromanagement and instability abound","'- learned skills for other opportunities","'-lack of growth -micromanagement was next level -inconsistent with workload -will overwork you -constant changes to work instruction (like every other month) it changes. -system always had issues -I.T. takes forever -- I was out of work for two weeks because of them not getting back to me. -","2.0","2026-04-27T20:32:39.160","Former employee - Clinical Support Operations Coordinator","Minneapolis, MN","REGULAR","next_f"
