review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
91564793,prestige learning valuable approaches teaming,prestige learning valuable approaches teaming,up or out culture can be cutthroat,4.0,2024-10-02,Partner,"San Francisco, CA",REGULAR,prestige learning valuable approaches teaming prestige learning valuable approaches teaming up or out culture can be cutthroat,US,state_code:CA
91563345,BCG pays are quite reasonable at that level,bcg pays are quite reasonable at that level,bcg can have alot of long hours and travelling,4.0,2024-10-02,Associate Consultant,"New York, NY",REGULAR,BCG pays are quite reasonable at that level bcg pays are quite reasonable at that level bcg can have alot of long hours and travelling,US,state_code:NY
91553508,A great balance of high performing individuals with a humble attitude,a great balance of high performing individuals with a humble attitude,longer hours than typical 9-5 but consistent with industry,5.0,2024-10-02,Managing Director and Partner,"Dallas, TX",REGULAR,A great balance of high performing individuals with a humble attitude a great balance of high performing individuals with a humble attitude longer hours than typical 9-5 but consistent with industry,US,state_code:TX
91358185,Great benefits beautiful workspace friendly co workers,great benefits beautiful workspace friendly co-workers,limited upward mobility for non-consulting track consultants looking to move over to operational corporate roles often get priority over bst staff there is some degree of 2nd-class citizenship,4.0,2024-09-25,Senior Financial Analyst,"Boston, MA",REGULAR,Great benefits beautiful workspace friendly co workers great benefits beautiful workspace friendly co-workers limited upward mobility for non-consulting track consultants looking to move over to operational corporate roles often get priority over bst staff there is some degree of 2nd-class citizenship,US,state_code:MA
91349843,Flexible work structure for internal staff Many locations to work from Market pay paired with stellar benefits,flexible work structure for internal staff many locations to work from market pay paired with stellar benefits,always improving which can cause friction with constant initiatives,5.0,2024-09-25,Data Science Manager,"Minneapolis, MN",REGULAR,Flexible work structure for internal staff Many locations to work from Market pay paired with stellar benefits flexible work structure for internal staff many locations to work from market pay paired with stellar benefits always improving which can cause friction with constant initiatives,US,state_code:MN
91349823,Great benefits talented peers lots of autonomy,great benefits talented peers lots of autonomy,for internal roles non-consulting salary could be better,5.0,2024-09-25,Senior Manager,"Chicago, IL",REGULAR,Great benefits talented peers lots of autonomy great benefits talented peers lots of autonomy for internal roles non-consulting salary could be better,US,state_code:IL
91349807,Excellent benefits learning amp development and truly care about the people and building sustainable culture,excellent benefits learning development and truly care about the people and building sustainable culture,complex organization up and out culture and high level of intensity,4.0,2024-09-25,Senior Manager,"Chicago, IL",REGULAR,Excellent benefits learning amp development and truly care about the people and building sustainable culture excellent benefits learning development and truly care about the people and building sustainable culture complex organization up and out culture and high level of intensity,US,state_code:IL
91349799,I have worked at BCG for almost 8 years in 3 different offices and have immensely enjoyed my time People truly care and are constantly looking to improve our culture and experiences,i have worked at bcg for almost 8 years in 3 different offices and have immensely enjoyed my time people truly care and are constantly looking to improve our culture and experiences,we are growing rapidly which comes with some growing pains and changes adaptability is key in order to thrive,5.0,2024-09-25,Learning and Development Manager,"Minneapolis, MN",REGULAR,I have worked at BCG for almost 8 years in 3 different offices and have immensely enjoyed my time People truly care and are constantly looking to improve our culture and experiences i have worked at bcg for almost 8 years in 3 different offices and have immensely enjoyed my time people truly care and are constantly looking to improve our culture and experiences we are growing rapidly which comes with some growing pains and changes adaptability is key in order to thrive,US,state_code:MN
91323508,People are great and residual perks that are intended to benefit consultants,people are great and residual perks that are intended to benefit consultants,extremely low pay long hours 28 parking per day threats to send job to costa rica,3.0,2024-09-24,Talent Acquisition Specialist,"Atlanta, GA",REGULAR,People are great and residual perks that are intended to benefit consultants people are great and residual perks that are intended to benefit consultants extremely low pay long hours 28 parking per day threats to send job to costa rica,US,state_code:GA
91309182,great benefits global presence flexible work model,- great benefits - global presence - flexible work model,- burn out - kt not taken seriously compared to classic consulting counterparts - some us offices are not diverse at all boston - difficult to get promoted,3.0,2024-09-24,Knowledge Analyst,"Boston, MA",REGULAR,great benefits global presence flexible work model - great benefits - global presence - flexible work model - burn out - kt not taken seriously compared to classic consulting counterparts - some us offices are not diverse at all boston - difficult to get promoted,US,state_code:MA
