review_id,company_id,mode,goal,cluster_id,evidence_value
97336922.0,cisco,none,,,0.0
103102380.0,cisco,fulfillment,fam,fulfillment_fam,4.0
103077450.0,cisco,fulfillment,fam,fulfillment_fam,9.0
103063862.0,cisco,fulfillment,stat,fulfillment_stat,4.5
103059572.0,cisco,none,,,0.0
102990441.0,cisco,none,,,0.0
102988124.0,cisco,hindrance,stat,hindrance_stat,2.0
102976325.0,cisco,none,,,0.0
102961397.0,cisco,fulfillment,phys,fulfillment_phys,2.0
102959989.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.0
102947311.0,cisco,none,,,0.0
102944646.0,cisco,fulfillment,fam,fulfillment_fam,4.5
102931638.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
102902367.0,cisco,none,,,0.0
102898416.0,cisco,fulfillment,aff,fulfillment_aff,2.0
102869190.0,cisco,none,,,0.0
102858613.0,cisco,fulfillment,stat,fulfillment_stat,4.0
102856769.0,cisco,fulfillment,stat,fulfillment_stat,3.0
102838597.0,cisco,hindrance,aff,hindrance_aff,2.0
102811040.0,cisco,fulfillment,phys,fulfillment_phys,2.0
102806551.0,cisco,fulfillment,aff,fulfillment_aff,2.0
102796396.0,cisco,fulfillment,phys,fulfillment_phys,2.0
102778074.0,cisco,fulfillment,aff,fulfillment_aff,2.0
102764147.0,cisco,fulfillment,phys,fulfillment_phys,4.5
102669648.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102664053.0,cisco,hindrance,fam,hindrance_fam,13.0
102647394.0,cisco,fulfillment,phys,fulfillment_phys,5.0
102644597.0,cisco,hindrance,phys,hindrance_phys,4.0
102630993.0,cisco,fulfillment,aff,fulfillment_aff,4.0
102630347.0,cisco,none,,,0.0
102595950.0,cisco,fulfillment,aff,fulfillment_aff,2.0
102579153.0,cisco,none,,,0.0
102490887.0,cisco,fulfillment,stat,fulfillment_stat,2.0
102483051.0,cisco,none,,,0.0
102470250.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102459571.0,cisco,none,,,0.0
102458633.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102455309.0,cisco,none,,,0.0
102453899.0,cisco,fulfillment,aff,fulfillment_aff,4.5
102446977.0,cisco,none,,,0.0
102441309.0,cisco,fulfillment,stat,fulfillment_stat,2.0
102401430.0,cisco,fulfillment,stat,fulfillment_stat,2.0
102396189.0,cisco,fulfillment,aff,fulfillment_aff,13.0
102377045.0,cisco,none,,,0.0
102372876.0,cisco,fulfillment,phys,fulfillment_phys,2.5
102332858.0,cisco,fulfillment,phys,fulfillment_phys,2.0
102328421.0,cisco,fulfillment,fam,fulfillment_fam,4.5
102327758.0,cisco,fulfillment,fam,fulfillment_fam,2.5
102322423.0,cisco,fulfillment,stat,fulfillment_stat,2.0
102310650.0,cisco,fulfillment,aff,fulfillment_aff,4.0
102306054.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102289943.0,cisco,none,,,0.0
102279859.0,cisco,none,,,0.0
102268131.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102253571.0,cisco,fulfillment,stat,fulfillment_stat,2.0
102226475.0,cisco,fulfillment,phys,fulfillment_phys,1.25
102186009.0,cisco,none,,,0.0
102176052.0,cisco,none,,,0.0
102167712.0,cisco,hindrance,aff,hindrance_aff,3.0
102167195.0,cisco,fulfillment,phys,fulfillment_phys,4.5
102152591.0,cisco,hindrance,stat,hindrance_stat,6.0
102137166.0,cisco,fulfillment,phys,fulfillment_phys,4.5
102131795.0,cisco,fulfillment,stat,fulfillment_stat,8.0
102126137.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
102116267.0,cisco,hindrance,fam,hindrance_fam,13.5
102100342.0,cisco,none,,,0.0
102093131.0,cisco,none,,,0.0
102076436.0,cisco,fulfillment,fam,fulfillment_fam,9.0
102064416.0,cisco,none,,,0.0
102047357.0,cisco,none,,,0.0
102043741.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.0
102043425.0,cisco,none,,,0.0
101963197.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101952328.0,cisco,fulfillment,fam,fulfillment_fam,2.5
101923484.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101920592.0,cisco,fulfillment,fam,fulfillment_fam,4.0
101893870.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.5
101888189.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
101866547.0,cisco,none,,,0.0
101852882.0,cisco,none,,,0.0
101835934.0,cisco,hindrance,stat,hindrance_stat,4.0
101831739.0,cisco,none,,,0.0
101829359.0,cisco,fulfillment,fam,fulfillment_fam,2.5
101789609.0,cisco,fulfillment,phys,fulfillment_phys,2.5
101755702.0,cisco,hindrance,stat,hindrance_stat,2.0
101714124.0,cisco,none,,,0.0
101674978.0,cisco,hindrance,fam,hindrance_fam,9.0
101672404.0,cisco,none,,,0.0
101658230.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101634968.0,cisco,fulfillment,fam,fulfillment_fam,9.0
101634256.0,cisco,none,,,0.0
101629842.0,cisco,none,,,0.0
101626320.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101590282.0,cisco,fulfillment,fam,fulfillment_fam,9.0
101568874.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101561792.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101547136.0,cisco,fulfillment,stat,fulfillment_stat,4.0
101517272.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
101505769.0,cisco,none,,,0.0
101498693.0,cisco,fulfillment,stat,fulfillment_stat,3.0
101484917.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101453660.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101426922.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101398883.0,cisco,none,,,0.0
101398571.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101354033.0,cisco,fulfillment,selfprot,fulfillment_selfprot,3.0
101349488.0,cisco,fulfillment,aff,fulfillment_aff,2.0
101311998.0,cisco,fulfillment,fam,fulfillment_fam,9.0
101303203.0,cisco,fulfillment,fam,fulfillment_fam,9.0
101302106.0,cisco,fulfillment,fam,fulfillment_fam,22.5
101302029.0,cisco,none,,,0.0
101286442.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
101271653.0,cisco,none,,,0.0
101201676.0,cisco,fulfillment,fam,fulfillment_fam,4.5
101184873.0,cisco,fulfillment,stat,fulfillment_stat,3.0
101182771.0,cisco,hindrance,phys,hindrance_phys,2.0
101169087.0,cisco,hindrance,stat,hindrance_stat,2.5
101150133.0,cisco,none,,,0.0
101116070.0,cisco,fulfillment,aff,fulfillment_aff,4.5
101106870.0,cisco,fulfillment,stat,fulfillment_stat,10.0
101082181.0,cisco,fulfillment,fam,fulfillment_fam,4.5
101076111.0,cisco,fulfillment,stat,fulfillment_stat,2.0
101075681.0,cisco,fulfillment,aff,fulfillment_aff,3.0
101043236.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.5
101027089.0,cisco,none,,,0.0
101016197.0,cisco,fulfillment,phys,fulfillment_phys,2.0
101014087.0,cisco,fulfillment,fam,fulfillment_fam,2.0
100990893.0,cisco,none,,,0.0
100974501.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100970111.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100932967.0,cisco,fulfillment,aff,fulfillment_aff,3.0
100911700.0,cisco,none,,,0.0
100889382.0,cisco,hindrance,phys,hindrance_phys,3.0
100865390.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100856173.0,cisco,none,,,0.0
100846165.0,cisco,none,,,0.0
100845370.0,cisco,none,,,0.0
100844137.0,cisco,fulfillment,aff,fulfillment_aff,6.5
100820025.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
100815862.0,cisco,fulfillment,aff,fulfillment_aff,2.0
100802729.0,cisco,none,,,0.0
100797790.0,cisco,hindrance,stat,hindrance_stat,6.5
100787792.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100785490.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100782645.0,cisco,none,,,0.0
100780315.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100748921.0,cisco,hindrance,phys,hindrance_phys,5.0
100739629.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100732239.0,cisco,none,,,0.0
100707670.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100706241.0,cisco,hindrance,fam,hindrance_fam,9.0
100674806.0,cisco,fulfillment,fam,fulfillment_fam,22.5
100658454.0,cisco,fulfillment,fam,fulfillment_fam,13.5
100566001.0,cisco,fulfillment,fam,fulfillment_fam,2.5
100554047.0,cisco,fulfillment,fam,fulfillment_fam,5.0
100546104.0,cisco,fulfillment,aff,fulfillment_aff,2.0
100527117.0,cisco,fulfillment,phys,fulfillment_phys,2.5
100524182.0,cisco,hindrance,stat,hindrance_stat,3.0
100492963.0,cisco,fulfillment,fam,fulfillment_fam,2.5
100483488.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.5
100471738.0,cisco,fulfillment,stat,fulfillment_stat,10.5
100461167.0,cisco,hindrance,stat,hindrance_stat,4.0
100455206.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100442183.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100440318.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100435467.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100427895.0,cisco,fulfillment,aff,fulfillment_aff,4.0
100414124.0,cisco,none,,,0.0
100413832.0,cisco,fulfillment,fam,fulfillment_fam,24.5
100410405.0,cisco,fulfillment,stat,fulfillment_stat,9.25
100402488.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100389577.0,cisco,none,,,0.0
100381314.0,cisco,fulfillment,stat,fulfillment_stat,2.0
100375098.0,cisco,fulfillment,selfprot,fulfillment_selfprot,2.0
100350296.0,cisco,none,,,0.0
100297631.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100292814.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100261522.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100249503.0,cisco,fulfillment,phys,fulfillment_phys,4.5
100230138.0,cisco,fulfillment,fam,fulfillment_fam,2.5
100230034.0,cisco,fulfillment,aff,fulfillment_aff,2.0
100197369.0,cisco,hindrance,selfprot,hindrance_selfprot,2.0
100179832.0,cisco,fulfillment,phys,fulfillment_phys,4.5
100178249.0,cisco,none,,,0.0
100176375.0,cisco,none,,,0.0
100155661.0,cisco,none,,,0.0
100142788.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100134163.0,cisco,fulfillment,aff,fulfillment_aff,2.0
100130423.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100126114.0,cisco,hindrance,selfprot,hindrance_selfprot,3.0
100121729.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100113038.0,cisco,none,,,0.0
100108041.0,cisco,fulfillment,stat,fulfillment_stat,4.0
100105461.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100101820.0,cisco,none,,,0.0
100084700.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100081700.0,cisco,hindrance,stat,hindrance_stat,2.0
100078649.0,cisco,fulfillment,fam,fulfillment_fam,9.0
100053456.0,cisco,hindrance,phys,hindrance_phys,6.25
100027838.0,cisco,fulfillment,phys,fulfillment_phys,2.0
100013614.0,cisco,fulfillment,selfprot,fulfillment_selfprot,9.0
99999164.0,cisco,fulfillment,phys,fulfillment_phys,2.5
99996486.0,cisco,none,,,0.0
99969579.0,cisco,fulfillment,aff,fulfillment_aff,2.5
99957244.0,cisco,none,,,0.0
